# Generalized Lomb-Scargle periodogram
# Parameters:
#    ofac     : 10
#    norm     : ZK
# 1) Frequency, 2) Amps
0.260572  0.000056
0.261875  0.000062
0.263178  0.000071
0.264481  0.000083
0.265784  0.000098
0.267086  0.000115
0.268389  0.000132
0.269692  0.000150
0.270995  0.000165
0.272298  0.000178
0.273601  0.000187
0.274904  0.000190
0.276206  0.000188
0.277509  0.000179
0.278812  0.000164
0.280115  0.000145
0.281418  0.000121
0.282721  0.000095
0.284024  0.000068
0.285326  0.000042
0.286629  0.000019
0.287932  0.000008
0.289235  0.000022
0.290538  0.000034
0.291841  0.000042
0.293144  0.000046
0.294447  0.000046
0.295749  0.000043
0.297052  0.000038
0.298355  0.000033
0.299658  0.000030
0.300961  0.000029
0.302264  0.000029
0.303567  0.000029
0.304869  0.000028
0.306172  0.000027
0.307475  0.000026
0.308778  0.000028
0.310081  0.000031
0.311384  0.000037
0.312687  0.000043
0.313989  0.000048
0.315292  0.000051
0.316595  0.000051
0.317898  0.000047
0.319201  0.000041
0.320504  0.000032
0.321807  0.000021
0.323109  0.000010
0.324412  0.000011
0.325715  0.000022
0.327018  0.000033
0.328321  0.000042
0.329624  0.000047
0.330927  0.000049
0.332229  0.000046
0.333532  0.000039
0.334835  0.000028
0.336138  0.000015
0.337441  0.000008
0.338744  0.000021
0.340047  0.000037
0.341349  0.000053
0.342652  0.000066
0.343955  0.000077
0.345258  0.000084
0.346561  0.000088
0.347864  0.000088
0.349167  0.000084
0.350470  0.000077
0.351772  0.000069
0.353075  0.000058
0.354378  0.000047
0.355681  0.000036
0.356984  0.000024
0.358287  0.000013
0.359590  0.000004
0.360892  0.000011
0.362195  0.000021
0.363498  0.000031
0.364801  0.000040
0.366104  0.000048
0.367407  0.000054
0.368710  0.000058
0.370012  0.000059
0.371315  0.000057
0.372618  0.000052
0.373921  0.000045
0.375224  0.000035
0.376527  0.000026
0.377830  0.000021
0.379132  0.000023
0.380435  0.000030
0.381738  0.000038
0.383041  0.000043
0.384344  0.000047
0.385647  0.000047
0.386950  0.000044
0.388252  0.000039
0.389555  0.000032
0.390858  0.000026
0.392161  0.000024
0.393464  0.000029
0.394767  0.000036
0.396070  0.000044
0.397373  0.000050
0.398675  0.000054
0.399978  0.000054
0.401281  0.000051
0.402584  0.000045
0.403887  0.000036
0.405190  0.000026
0.406493  0.000015
0.407795  0.000007
0.409098  0.000009
0.410401  0.000016
0.411704  0.000022
0.413007  0.000025
0.414310  0.000026
0.415613  0.000025
0.416915  0.000023
0.418218  0.000022
0.419521  0.000025
0.420824  0.000031
0.422127  0.000039
0.423430  0.000046
0.424733  0.000052
0.426035  0.000057
0.427338  0.000059
0.428641  0.000058
0.429944  0.000055
0.431247  0.000050
0.432550  0.000043
0.433853  0.000037
0.435155  0.000032
0.436458  0.000030
0.437761  0.000032
0.439064  0.000035
0.440367  0.000040
0.441670  0.000044
0.442973  0.000046
0.444275  0.000047
0.445578  0.000047
0.446881  0.000044
0.448184  0.000040
0.449487  0.000035
0.450790  0.000028
0.452093  0.000021
0.453396  0.000014
0.454698  0.000009
0.456001  0.000009
0.457304  0.000014
0.458607  0.000019
0.459910  0.000025
0.461213  0.000030
0.462516  0.000034
0.463818  0.000038
0.465121  0.000042
0.466424  0.000045
0.467727  0.000048
0.469030  0.000050
0.470333  0.000052
0.471636  0.000052
0.472938  0.000052
0.474241  0.000050
0.475544  0.000048
0.476847  0.000044
0.478150  0.000039
0.479453  0.000034
0.480756  0.000029
0.482058  0.000023
0.483361  0.000019
0.484664  0.000015
0.485967  0.000012
0.487270  0.000010
0.488573  0.000008
0.489876  0.000006
0.491178  0.000004
0.492481  0.000007
0.493784  0.000012
0.495087  0.000018
0.496390  0.000025
0.497693  0.000032
0.498996  0.000037
0.500299  0.000042
0.501601  0.000044
0.502904  0.000045
0.504207  0.000043
0.505510  0.000040
0.506813  0.000036
0.508116  0.000030
0.509419  0.000024
0.510721  0.000017
0.512024  0.000011
0.513327  0.000006
0.514630  0.000005
0.515933  0.000008
0.517236  0.000012
0.518539  0.000015
0.519841  0.000018
0.521144  0.000020
0.522447  0.000021
0.523750  0.000021
0.525053  0.000020
0.526356  0.000019
0.527659  0.000016
0.528961  0.000013
0.530264  0.000010
0.531567  0.000009
0.532870  0.000011
0.534173  0.000015
0.535476  0.000017
0.536779  0.000019
0.538081  0.000019
0.539384  0.000017
0.540687  0.000013
0.541990  0.000008
0.543293  0.000006
0.544596  0.000014
0.545899  0.000024
0.547201  0.000035
0.548504  0.000044
0.549807  0.000052
0.551110  0.000057
0.552413  0.000060
0.553716  0.000060
0.555019  0.000057
0.556322  0.000050
0.557624  0.000041
0.558927  0.000031
0.560230  0.000021
0.561533  0.000015
0.562836  0.000018
0.564139  0.000025
0.565442  0.000032
0.566744  0.000036
0.568047  0.000038
0.569350  0.000036
0.570653  0.000032
0.571956  0.000026
0.573259  0.000020
0.574562  0.000018
0.575864  0.000023
0.577167  0.000031
0.578470  0.000039
0.579773  0.000044
0.581076  0.000047
0.582379  0.000047
0.583682  0.000043
0.584984  0.000037
0.586287  0.000029
0.587590  0.000021
0.588893  0.000018
0.590196  0.000022
0.591499  0.000029
0.592802  0.000036
0.594104  0.000041
0.595407  0.000044
0.596710  0.000044
0.598013  0.000041
0.599316  0.000035
0.600619  0.000028
0.601922  0.000020
0.603224  0.000015
0.604527  0.000015
0.605830  0.000020
0.607133  0.000025
0.608436  0.000029
0.609739  0.000031
0.611042  0.000030
0.612345  0.000027
0.613647  0.000023
0.614950  0.000017
0.616253  0.000011
0.617556  0.000007
0.618859  0.000009
0.620162  0.000012
0.621465  0.000015
0.622767  0.000016
0.624070  0.000016
0.625373  0.000014
0.626676  0.000011
0.627979  0.000007
0.629282  0.000004
0.630585  0.000005
0.631887  0.000007
0.633190  0.000009
0.634493  0.000010
0.635796  0.000010
0.637099  0.000010
0.638402  0.000010
0.639705  0.000011
0.641007  0.000014
0.642310  0.000017
0.643613  0.000020
0.644916  0.000022
0.646219  0.000022
0.647522  0.000021
0.648825  0.000018
0.650127  0.000016
0.651430  0.000014
0.652733  0.000016
0.654036  0.000020
0.655339  0.000024
0.656642  0.000028
0.657945  0.000031
0.659248  0.000031
0.660550  0.000029
0.661853  0.000024
0.663156  0.000018
0.664459  0.000011
0.665762  0.000009
0.667065  0.000016
0.668368  0.000025
0.669670  0.000032
0.670973  0.000038
0.672276  0.000042
0.673579  0.000043
0.674882  0.000041
0.676185  0.000037
0.677488  0.000031
0.678790  0.000027
0.680093  0.000025
0.681396  0.000029
0.682699  0.000034
0.684002  0.000040
0.685305  0.000044
0.686608  0.000046
0.687910  0.000044
0.689213  0.000040
0.690516  0.000034
0.691819  0.000028
0.693122  0.000027
0.694425  0.000032
0.695728  0.000041
0.697030  0.000051
0.698333  0.000060
0.699636  0.000067
0.700939  0.000071
0.702242  0.000071
0.703545  0.000068
0.704848  0.000061
0.706150  0.000052
0.707453  0.000040
0.708756  0.000028
0.710059  0.000015
0.711362  0.000007
0.712665  0.000014
0.713968  0.000023
0.715271  0.000032
0.716573  0.000039
0.717876  0.000043
0.719179  0.000047
0.720482  0.000048
0.721785  0.000049
0.723088  0.000049
0.724391  0.000048
0.725693  0.000046
0.726996  0.000043
0.728299  0.000039
0.729602  0.000034
0.730905  0.000031
0.732208  0.000028
0.733511  0.000027
0.734813  0.000027
0.736116  0.000027
0.737419  0.000026
0.738722  0.000024
0.740025  0.000021
0.741328  0.000015
0.742631  0.000008
0.743933  0.000009
0.745236  0.000018
0.746539  0.000029
0.747842  0.000040
0.749145  0.000050
0.750448  0.000058
0.751751  0.000063
0.753053  0.000065
0.754356  0.000063
0.755659  0.000059
0.756962  0.000051
0.758265  0.000042
0.759568  0.000031
0.760871  0.000022
0.762173  0.000020
0.763476  0.000025
0.764779  0.000033
0.766082  0.000042
0.767385  0.000048
0.768688  0.000052
0.769991  0.000054
0.771294  0.000055
0.772596  0.000053
0.773899  0.000051
0.775202  0.000049
0.776505  0.000046
0.777808  0.000044
0.779111  0.000042
0.780414  0.000039
0.781716  0.000036
0.783019  0.000032
0.784322  0.000028
0.785625  0.000023
0.786928  0.000017
0.788231  0.000012
0.789534  0.000007
0.790836  0.000004
0.792139  0.000003
0.793442  0.000005
0.794745  0.000007
0.796048  0.000011
0.797351  0.000015
0.798654  0.000020
0.799956  0.000026
0.801259  0.000031
0.802562  0.000035
0.803865  0.000039
0.805168  0.000040
0.806471  0.000041
0.807774  0.000039
0.809076  0.000037
0.810379  0.000033
0.811682  0.000028
0.812985  0.000023
0.814288  0.000019
0.815591  0.000015
0.816894  0.000012
0.818197  0.000010
0.819499  0.000009
0.820802  0.000008
0.822105  0.000009
0.823408  0.000012
0.824711  0.000015
0.826014  0.000017
0.827317  0.000020
0.828619  0.000021
0.829922  0.000021
0.831225  0.000021
0.832528  0.000022
0.833831  0.000025
0.835134  0.000031
0.836437  0.000040
0.837739  0.000050
0.839042  0.000060
0.840345  0.000069
0.841648  0.000077
0.842951  0.000083
0.844254  0.000086
0.845557  0.000086
0.846859  0.000085
0.848162  0.000082
0.849465  0.000079
0.850768  0.000075
0.852071  0.000071
0.853374  0.000069
0.854677  0.000067
0.855979  0.000064
0.857282  0.000062
0.858585  0.000058
0.859888  0.000052
0.861191  0.000044
0.862494  0.000035
0.863797  0.000025
0.865099  0.000015
0.866402  0.000007
0.867705  0.000007
0.869008  0.000013
0.870311  0.000017
0.871614  0.000019
0.872917  0.000021
0.874220  0.000023
0.875522  0.000028
0.876825  0.000035
0.878128  0.000044
0.879431  0.000054
0.880734  0.000063
0.882037  0.000071
0.883340  0.000076
0.884642  0.000078
0.885945  0.000076
0.887248  0.000071
0.888551  0.000063
0.889854  0.000053
0.891157  0.000042
0.892460  0.000033
0.893762  0.000029
0.895065  0.000032
0.896368  0.000039
0.897671  0.000046
0.898974  0.000051
0.900277  0.000054
0.901580  0.000054
0.902882  0.000050
0.904185  0.000045
0.905488  0.000038
0.906791  0.000029
0.908094  0.000021
0.909397  0.000012
0.910700  0.000006
0.912002  0.000002
0.913305  0.000003
0.914608  0.000004
0.915911  0.000004
0.917214  0.000002
0.918517  0.000003
0.919820  0.000006
0.921122  0.000009
0.922425  0.000010
0.923728  0.000010
0.925031  0.000007
0.926334  0.000002
0.927637  0.000005
0.928940  0.000015
0.930243  0.000026
0.931545  0.000038
0.932848  0.000050
0.934151  0.000061
0.935454  0.000071
0.936757  0.000077
0.938060  0.000081
0.939363  0.000080
0.940665  0.000074
0.941968  0.000065
0.943271  0.000051
0.944574  0.000036
0.945877  0.000025
0.947180  0.000032
0.948483  0.000052
0.949785  0.000075
0.951088  0.000098
0.952391  0.000120
0.953694  0.000138
0.954997  0.000152
0.956300  0.000161
0.957603  0.000166
0.958905  0.000165
0.960208  0.000160
0.961511  0.000149
0.962814  0.000136
0.964117  0.000119
0.965420  0.000102
0.966723  0.000084
0.968025  0.000069
0.969328  0.000056
0.970631  0.000049
0.971934  0.000046
0.973237  0.000046
0.974540  0.000047
0.975843  0.000046
0.977146  0.000044
0.978448  0.000040
0.979751  0.000036
0.981054  0.000032
0.982357  0.000030
0.983660  0.000033
0.984963  0.000038
0.986266  0.000043
0.987568  0.000049
0.988871  0.000053
0.990174  0.000055
0.991477  0.000056
0.992780  0.000054
0.994083  0.000052
0.995386  0.000049
0.996688  0.000047
0.997991  0.000046
0.999294  0.000047
1.000597  0.000049
1.001900  0.000052
1.003203  0.000054
1.004506  0.000056
1.005808  0.000056
1.007111  0.000055
1.008414  0.000052
1.009717  0.000048
1.011020  0.000042
1.012323  0.000036
1.013626  0.000029
1.014928  0.000022
1.016231  0.000015
1.017534  0.000011
1.018837  0.000008
1.020140  0.000006
1.021443  0.000005
1.022746  0.000002
1.024048  0.000003
1.025351  0.000010
1.026654  0.000017
1.027957  0.000026
1.029260  0.000036
1.030563  0.000045
1.031866  0.000053
1.033169  0.000060
1.034471  0.000064
1.035774  0.000066
1.037077  0.000064
1.038380  0.000059
1.039683  0.000051
1.040986  0.000040
1.042289  0.000028
1.043591  0.000017
1.044894  0.000018
1.046197  0.000031
1.047500  0.000046
1.048803  0.000060
1.050106  0.000072
1.051409  0.000080
1.052711  0.000085
1.054014  0.000086
1.055317  0.000083
1.056620  0.000077
1.057923  0.000068
1.059226  0.000056
1.060529  0.000043
1.061831  0.000030
1.063134  0.000019
1.064437  0.000018
1.065740  0.000025
1.067043  0.000034
1.068346  0.000041
1.069649  0.000046
1.070951  0.000048
1.072254  0.000048
1.073557  0.000045
1.074860  0.000041
1.076163  0.000036
1.077466  0.000032
1.078769  0.000030
1.080072  0.000033
1.081374  0.000040
1.082677  0.000047
1.083980  0.000055
1.085283  0.000061
1.086586  0.000065
1.087889  0.000066
1.089192  0.000064
1.090494  0.000059
1.091797  0.000052
1.093100  0.000041
1.094403  0.000030
1.095706  0.000017
1.097009  0.000009
1.098312  0.000016
1.099614  0.000026
1.100917  0.000036
1.102220  0.000042
1.103523  0.000046
1.104826  0.000046
1.106129  0.000042
1.107432  0.000035
1.108734  0.000026
1.110037  0.000017
1.111340  0.000014
1.112643  0.000023
1.113946  0.000036
1.115249  0.000049
1.116552  0.000060
1.117854  0.000069
1.119157  0.000075
1.120460  0.000078
1.121763  0.000077
1.123066  0.000074
1.124369  0.000068
1.125672  0.000061
1.126974  0.000051
1.128277  0.000041
1.129580  0.000031
1.130883  0.000022
1.132186  0.000016
1.133489  0.000015
1.134792  0.000020
1.136095  0.000025
1.137397  0.000030
1.138700  0.000034
1.140003  0.000036
1.141306  0.000037
1.142609  0.000035
1.143912  0.000031
1.145215  0.000026
1.146517  0.000019
1.147820  0.000010
1.149123  0.000001
1.150426  0.000012
1.151729  0.000023
1.153032  0.000034
1.154335  0.000045
1.155637  0.000056
1.156940  0.000065
1.158243  0.000073
1.159546  0.000079
1.160849  0.000083
1.162152  0.000084
1.163455  0.000083
1.164757  0.000079
1.166060  0.000073
1.167363  0.000064
1.168666  0.000052
1.169969  0.000039
1.171272  0.000024
1.172575  0.000009
1.173877  0.000007
1.175180  0.000020
1.176483  0.000032
1.177786  0.000040
1.179089  0.000045
1.180392  0.000045
1.181695  0.000041
1.182997  0.000033
1.184300  0.000022
1.185603  0.000012
1.186906  0.000020
1.188209  0.000037
1.189512  0.000055
1.190815  0.000073
1.192118  0.000088
1.193420  0.000099
1.194723  0.000106
1.196026  0.000108
1.197329  0.000104
1.198632  0.000096
1.199935  0.000084
1.201238  0.000068
1.202540  0.000050
1.203843  0.000031
1.205146  0.000014
1.206449  0.000009
1.207752  0.000022
1.209055  0.000033
1.210358  0.000041
1.211660  0.000045
1.212963  0.000045
1.214266  0.000042
1.215569  0.000036
1.216872  0.000027
1.218175  0.000018
1.219478  0.000009
1.220780  0.000006
1.222083  0.000013
1.223386  0.000020
1.224689  0.000027
1.225992  0.000031
1.227295  0.000036
1.228598  0.000040
1.229900  0.000044
1.231203  0.000048
1.232506  0.000053
1.233809  0.000057
1.235112  0.000062
1.236415  0.000065
1.237718  0.000068
1.239021  0.000070
1.240323  0.000070
1.241626  0.000069
1.242929  0.000066
1.244232  0.000062
1.245535  0.000057
1.246838  0.000050
1.248141  0.000042
1.249443  0.000032
1.250746  0.000023
1.252049  0.000013
1.253352  0.000005
1.254655  0.000010
1.255958  0.000017
1.257261  0.000024
1.258563  0.000028
1.259866  0.000031
1.261169  0.000033
1.262472  0.000034
1.263775  0.000037
1.265078  0.000041
1.266381  0.000048
1.267683  0.000055
1.268986  0.000063
1.270289  0.000069
1.271592  0.000073
1.272895  0.000074
1.274198  0.000071
1.275501  0.000066
1.276803  0.000057
1.278106  0.000045
1.279409  0.000032
1.280712  0.000019
1.282015  0.000007
1.283318  0.000009
1.284621  0.000019
1.285923  0.000026
1.287226  0.000031
1.288529  0.000032
1.289832  0.000030
1.291135  0.000025
1.292438  0.000020
1.293741  0.000015
1.295044  0.000015
1.296346  0.000018
1.297649  0.000022
1.298952  0.000025
1.300255  0.000026
1.301558  0.000025
1.302861  0.000024
1.304164  0.000026
1.305466  0.000033
1.306769  0.000044
1.308072  0.000057
1.309375  0.000069
1.310678  0.000080
1.311981  0.000089
1.313284  0.000094
1.314586  0.000095
1.315889  0.000093
1.317192  0.000086
1.318495  0.000076
1.319798  0.000064
1.321101  0.000051
1.322404  0.000037
1.323706  0.000026
1.325009  0.000020
1.326312  0.000022
1.327615  0.000029
1.328918  0.000036
1.330221  0.000043
1.331524  0.000048
1.332826  0.000054
1.334129  0.000059
1.335432  0.000065
1.336735  0.000070
1.338038  0.000074
1.339341  0.000076
1.340644  0.000077
1.341946  0.000077
1.343249  0.000074
1.344552  0.000069
1.345855  0.000062
1.347158  0.000055
1.348461  0.000046
1.349764  0.000037
1.351067  0.000029
1.352369  0.000021
1.353672  0.000014
1.354975  0.000010
1.356278  0.000010
1.357581  0.000014
1.358884  0.000019
1.360187  0.000023
1.361489  0.000028
1.362792  0.000031
1.364095  0.000034
1.365398  0.000037
1.366701  0.000040
1.368004  0.000042
1.369307  0.000044
1.370609  0.000045
1.371912  0.000045
1.373215  0.000044
1.374518  0.000042
1.375821  0.000040
1.377124  0.000042
1.378427  0.000049
1.379729  0.000061
1.381032  0.000077
1.382335  0.000095
1.383638  0.000113
1.384941  0.000129
1.386244  0.000142
1.387547  0.000151
1.388849  0.000153
1.390152  0.000149
1.391455  0.000139
1.392758  0.000123
1.394061  0.000101
1.395364  0.000075
1.396667  0.000046
1.397970  0.000018
1.399272  0.000017
1.400575  0.000041
1.401878  0.000064
1.403181  0.000082
1.404484  0.000094
1.405787  0.000101
1.407090  0.000102
1.408392  0.000099
1.409695  0.000094
1.410998  0.000089
1.412301  0.000086
1.413604  0.000087
1.414907  0.000091
1.416210  0.000096
1.417512  0.000100
1.418815  0.000101
1.420118  0.000098
1.421421  0.000092
1.422724  0.000082
1.424027  0.000070
1.425330  0.000061
1.426632  0.000057
1.427935  0.000063
1.429238  0.000076
1.430541  0.000091
1.431844  0.000107
1.433147  0.000120
1.434450  0.000130
1.435752  0.000136
1.437055  0.000138
1.438358  0.000136
1.439661  0.000129
1.440964  0.000118
1.442267  0.000105
1.443570  0.000089
1.444872  0.000072
1.446175  0.000058
1.447478  0.000051
1.448781  0.000054
1.450084  0.000064
1.451387  0.000076
1.452690  0.000088
1.453993  0.000097
1.455295  0.000104
1.456598  0.000109
1.457901  0.000114
1.459204  0.000122
1.460507  0.000133
1.461810  0.000149
1.463113  0.000168
1.464415  0.000188
1.465718  0.000207
1.467021  0.000224
1.468324  0.000236
1.469627  0.000244
1.470930  0.000245
1.472233  0.000242
1.473535  0.000232
1.474838  0.000219
1.476141  0.000201
1.477444  0.000180
1.478747  0.000158
1.480050  0.000134
1.481353  0.000110
1.482655  0.000086
1.483958  0.000060
1.485261  0.000035
1.486564  0.000015
1.487867  0.000026
1.489170  0.000050
1.490473  0.000072
1.491775  0.000092
1.493078  0.000107
1.494381  0.000116
1.495684  0.000119
1.496987  0.000116
1.498290  0.000106
1.499593  0.000090
1.500896  0.000071
1.502198  0.000049
1.503501  0.000027
1.504804  0.000015
1.506107  0.000027
1.507410  0.000044
1.508713  0.000057
1.510016  0.000066
1.511318  0.000069
1.512621  0.000068
1.513924  0.000064
1.515227  0.000057
1.516530  0.000050
1.517833  0.000045
1.519136  0.000046
1.520438  0.000052
1.521741  0.000061
1.523044  0.000070
1.524347  0.000078
1.525650  0.000084
1.526953  0.000086
1.528256  0.000083
1.529558  0.000075
1.530861  0.000061
1.532164  0.000042
1.533467  0.000028
1.534770  0.000047
1.536073  0.000086
1.537376  0.000133
1.538678  0.000184
1.539981  0.000234
1.541284  0.000282
1.542587  0.000324
1.543890  0.000357
1.545193  0.000380
1.546496  0.000390
1.547798  0.000386
1.549101  0.000369
1.550404  0.000339
1.551707  0.000299
1.553010  0.000251
1.554313  0.000199
1.555616  0.000147
1.556919  0.000102
1.558221  0.000076
1.559524  0.000078
1.560827  0.000096
1.562130  0.000114
1.563433  0.000125
1.564736  0.000129
1.566039  0.000125
1.567341  0.000117
1.568644  0.000107
1.569947  0.000099
1.571250  0.000095
1.572553  0.000095
1.573856  0.000096
1.575159  0.000096
1.576461  0.000093
1.577764  0.000086
1.579067  0.000076
1.580370  0.000065
1.581673  0.000057
1.582976  0.000054
1.584279  0.000056
1.585581  0.000060
1.586884  0.000062
1.588187  0.000062
1.589490  0.000057
1.590793  0.000048
1.592096  0.000038
1.593399  0.000029
1.594701  0.000028
1.596004  0.000034
1.597307  0.000042
1.598610  0.000049
1.599913  0.000054
1.601216  0.000058
1.602519  0.000060
1.603821  0.000062
1.605124  0.000063
1.606427  0.000063
1.607730  0.000061
1.609033  0.000060
1.610336  0.000069
1.611639  0.000095
1.612942  0.000140
1.614244  0.000201
1.615547  0.000271
1.616850  0.000347
1.618153  0.000423
1.619456  0.000494
1.620759  0.000555
1.622062  0.000600
1.623364  0.000626
1.624667  0.000628
1.625970  0.000604
1.627273  0.000556
1.628576  0.000486
1.629879  0.000399
1.631182  0.000303
1.632484  0.000214
1.633787  0.000161
1.635090  0.000178
1.636393  0.000235
1.637696  0.000292
1.638999  0.000331
1.640302  0.000345
1.641604  0.000331
1.642907  0.000291
1.644210  0.000228
1.645513  0.000148
1.646816  0.000058
1.648119  0.000035
1.649422  0.000121
1.650724  0.000193
1.652027  0.000245
1.653330  0.000273
1.654633  0.000273
1.655936  0.000248
1.657239  0.000199
1.658542  0.000131
1.659845  0.000053
1.661147  0.000032
1.662450  0.000107
1.663753  0.000169
1.665056  0.000208
1.666359  0.000220
1.667662  0.000201
1.668965  0.000152
1.670267  0.000075
1.671570  0.000030
1.672873  0.000138
1.674176  0.000252
1.675479  0.000357
1.676782  0.000441
1.678085  0.000490
1.679387  0.000497
1.680690  0.000454
1.681993  0.000362
1.683296  0.000242
1.684599  0.000207
1.685902  0.000382
1.687205  0.000650
1.688507  0.000949
1.689810  0.001255
1.691113  0.001547
1.692416  0.001806
1.693719  0.002019
1.695022  0.002170
1.696325  0.002253
1.697627  0.002261
1.698930  0.002192
1.700233  0.002051
1.701536  0.001845
1.702839  0.001585
1.704142  0.001289
1.705445  0.000973
1.706747  0.000655
1.708050  0.000354
1.709353  0.000091
1.710656  0.000152
1.711959  0.000324
1.713262  0.000442
1.714565  0.000503
1.715868  0.000508
1.717170  0.000464
1.718473  0.000383
1.719776  0.000275
1.721079  0.000154
1.722382  0.000041
1.723685  0.000085
1.724988  0.000172
1.726290  0.000233
1.727593  0.000263
1.728896  0.000261
1.730199  0.000228
1.731502  0.000172
1.732805  0.000102
1.734108  0.000055
1.735410  0.000104
1.736713  0.000175
1.738016  0.000234
1.739319  0.000272
1.740622  0.000284
1.741925  0.000268
1.743228  0.000226
1.744530  0.000160
1.745833  0.000079
1.747136  0.000023
1.748439  0.000110
1.749742  0.000195
1.751045  0.000265
1.752348  0.000315
1.753650  0.000337
1.754953  0.000331
1.756256  0.000297
1.757559  0.000239
1.758862  0.000168
1.760165  0.000122
1.761468  0.000162
1.762770  0.000257
1.764073  0.000362
1.765376  0.000459
1.766679  0.000539
1.767982  0.000598
1.769285  0.000632
1.770588  0.000639
1.771891  0.000621
1.773193  0.000580
1.774496  0.000522
1.775799  0.000451
1.777102  0.000374
1.778405  0.000297
1.779708  0.000226
1.781011  0.000167
1.782313  0.000126
1.783616  0.000106
1.784919  0.000101
1.786222  0.000100
1.787525  0.000096
1.788828  0.000089
1.790131  0.000079
1.791433  0.000068
1.792736  0.000059
1.794039  0.000051
1.795342  0.000046
1.796645  0.000040
1.797948  0.000033
1.799251  0.000025
1.800553  0.000021
1.801856  0.000024
1.803159  0.000032
1.804462  0.000041
1.805765  0.000049
