# Generalized Lomb-Scargle periodogram
# Parameters:
#    ofac     : 10
#    norm     : ZK
# 1) Frequency, 2) Amps
0.000000  0.709908
0.001303  0.000433
0.002606  0.000110
0.003909  0.000050
0.005211  0.000030
0.006514  0.000020
0.007817  0.000015
0.009120  0.000011
0.010423  0.000009
0.011726  0.000008
0.013029  0.000007
0.014331  0.000005
0.015634  0.000004
0.016937  0.000003
0.018240  0.000003
0.019543  0.000004
0.020846  0.000008
0.022149  0.000011
0.023451  0.000014
0.024754  0.000015
0.026057  0.000017
0.027360  0.000018
0.028663  0.000019
0.029966  0.000020
0.031269  0.000021
0.032572  0.000023
0.033874  0.000024
0.035177  0.000025
0.036480  0.000024
0.037783  0.000022
0.039086  0.000019
0.040389  0.000017
0.041692  0.000016
0.042994  0.000015
0.044297  0.000015
0.045600  0.000016
0.046903  0.000016
0.048206  0.000017
0.049509  0.000017
0.050812  0.000017
0.052114  0.000017
0.053417  0.000016
0.054720  0.000014
0.056023  0.000012
0.057326  0.000008
0.058629  0.000004
0.059932  0.000004
0.061234  0.000009
0.062537  0.000014
0.063840  0.000019
0.065143  0.000024
0.066446  0.000028
0.067749  0.000032
0.069052  0.000037
0.070354  0.000042
0.071657  0.000045
0.072960  0.000046
0.074263  0.000043
0.075566  0.000037
0.076869  0.000030
0.078172  0.000023
0.079475  0.000019
0.080777  0.000018
0.082080  0.000018
0.083383  0.000020
0.084686  0.000021
0.085989  0.000021
0.087292  0.000020
0.088595  0.000019
0.089897  0.000018
0.091200  0.000015
0.092503  0.000013
0.093806  0.000011
0.095109  0.000010
0.096412  0.000011
0.097715  0.000014
0.099017  0.000017
0.100320  0.000019
0.101623  0.000021
0.102926  0.000023
0.104229  0.000024
0.105532  0.000025
0.106835  0.000026
0.108137  0.000028
0.109440  0.000030
0.110743  0.000033
0.112046  0.000036
0.113349  0.000039
0.114652  0.000042
0.115955  0.000044
0.117257  0.000045
0.118560  0.000045
0.119863  0.000043
0.121166  0.000040
0.122469  0.000035
0.123772  0.000029
0.125075  0.000022
0.126377  0.000016
0.127680  0.000013
0.128983  0.000016
0.130286  0.000023
0.131589  0.000030
0.132892  0.000037
0.134195  0.000043
0.135498  0.000047
0.136800  0.000050
0.138103  0.000050
0.139406  0.000048
0.140709  0.000045
0.142012  0.000041
0.143315  0.000038
0.144618  0.000036
0.145920  0.000036
0.147223  0.000036
0.148526  0.000035
0.149829  0.000035
0.151132  0.000034
0.152435  0.000031
0.153738  0.000027
0.155040  0.000021
0.156343  0.000015
0.157646  0.000009
0.158949  0.000007
0.160252  0.000013
0.161555  0.000020
0.162858  0.000027
0.164160  0.000032
0.165463  0.000036
0.166766  0.000038
0.168069  0.000038
0.169372  0.000037
0.170675  0.000033
0.171978  0.000029
0.173280  0.000023
0.174583  0.000017
0.175886  0.000011
0.177189  0.000005
0.178492  0.000003
0.179795  0.000008
0.181098  0.000013
0.182400  0.000017
0.183703  0.000022
0.185006  0.000026
0.186309  0.000029
0.187612  0.000032
0.188915  0.000034
0.190218  0.000035
0.191521  0.000037
0.192823  0.000039
0.194126  0.000043
0.195429  0.000048
0.196732  0.000054
0.198035  0.000061
0.199338  0.000068
0.200641  0.000075
0.201943  0.000081
0.203246  0.000085
0.204549  0.000086
0.205852  0.000083
0.207155  0.000078
0.208458  0.000069
0.209761  0.000058
0.211063  0.000045
0.212366  0.000032
0.213669  0.000023
0.214972  0.000022
0.216275  0.000031
0.217578  0.000042
0.218881  0.000052
0.220183  0.000059
0.221486  0.000063
0.222789  0.000064
0.224092  0.000062
0.225395  0.000058
0.226698  0.000051
0.228001  0.000044
0.229303  0.000037
0.230606  0.000030
0.231909  0.000025
0.233212  0.000023
0.234515  0.000023
0.235818  0.000023
0.237121  0.000024
0.238424  0.000024
0.239726  0.000025
0.241029  0.000027
0.242332  0.000029
0.243635  0.000030
0.244938  0.000030
0.246241  0.000030
0.247544  0.000028
0.248846  0.000025
0.250149  0.000023
0.251452  0.000021
0.252755  0.000023
0.254058  0.000028
0.255361  0.000034
0.256664  0.000041
0.257966  0.000047
0.259269  0.000052
